driverId,week,hours-logged,miles-logged
105,43,78,900
34,30,57,2100
42,14,55,3500
58,17,67,300
10,1,53,2000
32,21,61,3200
78,42,66,2100
100,35,72,200
94,27,80,1600
10,12,54,600
31,26,57,2100
85,9,58,1500
12,2,66,1600
97,24,67,1500
35,23,63,3200
50,30,69,3100
32,47,53,900
73,24,72,3200
53,50,57,1200
63,14,64,3500
43,50,51,100
62,32,69,3200
19,28,73,3000
26,3,79,1600
30,5,72,1000
70,11,72,400
88,22,65,2200
98,1,79,800
70,21,66,200
65,43,70,300
79,25,60,3000
97,41,57,3500
38,30,74,2800
99,23,74,2800
88,22,75,2600
99,13,79,600
96,5,61,2900
72,35,70,1100
70,4,70,4000
76,4,77,100
15,34,67,300
90,25,74,500
39,8,70,2300
96,43,75,3400
45,48,50,3800
98,31,52,2900
83,3,64,3400
26,19,76,2000
96,7,68,3900
15,18,62,3300
57,38,58,1900
80,8,62,400
30,14,59,1300
17,44,72,2600
20,51,52,3500
32,34,53,3500
10,21,68,600
98,13,56,3100
55,1,56,3100
95,10,59,900
58,42,61,400
46,33,62,1200
104,31,54,1600
36,14,68,1300
37,31,73,3500
49,22,57,900
81,2,54,900
62,23,50,3300
94,22,70,3800
55,18,70,700
41,16,59,1400
55,25,60,3100
49,18,71,3300
63,7,58,3900
93,29,62,400
85,41,60,1800
108,2,72,3200
57,44,65,2500
76,40,71,2400
21,39,73,400
56,15,53,1900
16,14,68,2900
97,18,50,3600
54,34,74,3700
62,39,69,3700
17,33,60,600
80,11,68,900
109,38,70,3300
81,8,61,2000
64,5,73,400
91,35,74,2100
50,41,67,1700
21,13,78,2400
82,41,52,200
26,41,68,700
64,26,50,3800
16,4,71,3100
82,20,74,3000
19,34,78,2200
58,20,73,2000
76,8,52,1800
85,15,51,2700
45,14,77,1300
65,38,55,1700
29,47,56,2900
27,33,56,2400
94,2,80,2600
18,33,70,1900
32,29,50,800
47,6,58,1300
91,8,67,400
61,50,70,100
44,46,70,900
78,45,59,3600
15,13,71,600
101,47,56,4000
97,1,80,1200
70,31,67,800
59,20,60,1300
32,42,57,0
31,19,77,300
72,46,64,3900
64,25,75,4000
101,1,68,800
57,3,77,900
69,7,71,1800
17,43,66,2400
47,15,63,2700
69,29,63,100
82,32,61,2300
64,13,72,1900
94,25,63,2400
90,7,79,1600
48,31,71,800
70,28,51,2500
52,3,78,100
41,9,67,2200
101,26,73,1000
44,3,60,600
91,39,67,300
82,17,50,300
46,21,52,1700
94,48,52,2400
85,38,51,2400
68,14,56,100
90,5,80,2100
58,46,72,1900
36,38,65,1700
51,13,50,2700
26,45,74,600
34,22,58,500
65,29,53,3900
15,50,80,3600
48,49,59,500
61,7,77,1200
38,27,62,1600
100,14,50,1100
13,21,71,400
72,33,64,2400
74,10,78,400
11,13,54,1100
38,51,69,3500
15,29,78,800
23,15,70,3200
64,38,62,100
79,38,74,3000
60,15,79,3900
83,4,64,3400
92,14,65,3800
64,19,63,1100
69,49,68,500
76,10,74,2100
91,28,64,300
23,41,50,1100
29,40,51,3800
97,36,53,1900
53,6,71,2700
41,15,61,400
92,33,61,2200
39,44,73,2800
22,10,76,600
58,18,52,2300
58,30,57,3700
62,29,72,0
62,18,64,700
13,11,55,600
49,44,63,2700
14,29,56,1200
74,51,80,3200
33,34,76,1300
76,9,76,3200
67,41,77,2900
64,3,74,2100
39,28,74,1000
98,29,76,900
54,12,79,300
98,26,61,1000
29,37,69,2200
56,14,71,2200
101,1,50,1500
80,38,80,4000
56,19,66,2800
29,17,64,700
74,45,65,2100
44,13,51,600
69,26,51,600
98,13,64,2800
103,27,67,2700
72,19,72,500
70,17,64,3500
32,5,50,500
97,52,52,2500
44,49,75,2900
104,12,68,2400
68,33,64,800
19,12,72,3600
31,39,51,400
79,30,78,1500
107,21,68,3900
86,10,70,1100
22,52,69,1100
93,27,71,600
60,2,71,2400
67,32,60,2900
87,44,52,2700
102,23,55,900
55,50,78,3000
84,52,59,1400
19,23,79,2800
15,51,70,3500
13,39,64,300
34,41,80,1500
11,7,72,2200
20,16,80,2900
49,16,63,4000
31,18,67,1200
18,52,69,1500
53,10,60,1800
104,43,63,2100
53,7,50,4000
61,45,74,800
33,47,80,1700
57,13,67,200
39,52,64,1000
33,27,60,800
106,21,78,900
104,5,76,1500
100,32,80,1300
88,37,77,3500
37,23,67,2200
57,5,68,2100
41,46,64,500
98,27,80,3600
91,18,59,900
91,45,73,1200
69,5,68,400
23,30,77,2500
70,8,80,2700
45,6,69,500
44,19,63,500
29,30,78,1800
13,45,51,2900
52,33,77,1600
33,22,67,200
82,10,73,1500
29,40,60,100
103,28,56,1800
96,7,76,1900
42,44,61,2600
26,39,65,3300
76,51,75,3200
39,6,60,900
48,33,67,3900
52,33,64,600
73,29,70,3900
11,25,58,400
12,27,70,3700
108,31,73,1000
33,17,69,100
67,5,76,400
28,3,80,1700
80,22,76,1400
75,19,72,2000
65,20,76,1600
41,20,57,1300
70,25,62,3300
16,5,56,800
92,38,50,4000
99,28,70,1100
29,38,67,1400
32,3,53,3900
29,39,56,100
57,35,80,2200
29,9,69,700
18,35,76,700
64,15,50,1400
103,41,67,800
83,8,67,1100
82,24,70,3500
18,20,59,300
11,14,59,2300
50,36,79,1000
47,3,70,200
24,15,63,700
15,34,73,300
46,20,68,1600
53,30,74,700
63,33,70,700
92,26,60,4000
34,25,50,600
61,23,63,3200
39,32,76,2400
49,50,53,3500
57,40,53,1700
87,31,61,2600
66,40,64,1100
39,9,74,3100
54,39,56,1000
84,37,56,3300
29,37,70,2500
58,14,65,3900
33,37,50,1000
56,10,59,1500
18,45,63,900
19,16,62,1600
67,22,58,1100
109,2,79,2400
40,17,53,2900
81,37,64,800
101,36,63,1800
39,33,74,2100
26,19,74,900
49,11,80,2500
70,19,70,3600
41,41,80,1700
57,35,60,2200
60,15,59,500
34,31,70,3700
91,23,63,600
94,14,65,3900
70,4,68,900
33,8,69,3800
20,41,54,3400
85,39,75,400
13,14,68,2200
39,15,77,3400
53,6,69,3400
70,50,71,2600
69,30,50,3800
43,28,58,2800
38,5,74,4000
34,41,66,1800
87,19,63,600
28,19,68,200
11,11,63,500
54,21,62,3600
83,20,57,3200
82,7,53,100
11,46,67,300
31,20,56,1600
59,30,77,3700
96,6,61,2200
14,39,52,1500
44,13,68,400
43,34,55,1500
85,45,77,3800
102,47,60,2500
18,46,77,2800
72,23,56,200
61,32,76,1600
16,43,78,900
47,29,64,1900
90,24,62,2100
78,16,60,3000
61,41,63,1000
46,38,72,500
71,36,76,0
69,8,56,100
59,42,60,2800
88,1,73,1000
53,23,52,4000
103,28,58,1700
44,40,72,3500
19,26,53,800
97,26,66,300
46,42,72,1900
41,50,64,2200
32,12,73,2200
88,14,75,1000
29,15,80,0
85,2,76,2900
26,24,60,3500
104,24,58,1800
18,52,79,3900
106,43,78,2600
79,35,78,3400
16,30,55,100
74,16,56,100
24,29,54,300
32,28,58,3100
33,5,61,500
49,3,71,3300
84,43,63,3600
90,9,71,300
69,13,78,300
109,34,63,1800
20,3,78,2900
93,38,54,100
103,49,77,500
35,32,55,300
40,41,63,1700
16,52,69,0
92,34,74,1000
71,35,51,1400
84,16,61,3700
16,18,67,2300
74,39,75,900
36,51,75,2500
14,47,78,100
17,9,50,1600
109,22,71,3600
38,52,63,3200
42,47,51,2800
94,10,71,2800
27,10,80,1900
12,46,56,3700
97,8,61,3100
40,15,66,1100
60,2,71,400
106,47,80,2200
70,41,56,1100
23,8,57,0
84,34,74,1800
73,15,50,2000
66,9,79,2600
24,38,71,2200
36,47,73,3200
49,9,59,1200
108,29,54,1700
27,22,57,3900
104,50,78,400
108,13,62,2600
58,4,66,3300
21,9,65,700
36,40,73,3200
33,10,64,3300
17,9,62,2500
12,36,54,0
66,14,76,1800
58,42,58,2300
28,32,72,500
88,35,67,3600
21,50,77,2300
89,25,57,4000
102,7,71,700
25,25,57,800
20,44,70,1400
16,45,77,200
36,12,54,2100
43,30,51,1500
91,13,51,1900
40,34,51,0
45,23,63,0
94,41,68,800
48,29,79,1300
56,7,75,1700
12,14,52,3500
40,38,66,1200
32,34,70,1000
109,48,59,2800
90,46,71,800
62,16,65,2700
78,19,76,2300
46,37,58,900
73,9,64,300
17,20,71,2300
51,7,65,3700
96,43,71,1400
61,27,51,3200
97,29,55,2400
30,6,60,1900
103,22,75,3500
98,45,75,2700
85,39,67,3800
19,6,54,2900
26,23,59,2700
50,51,54,3700
102,27,68,2300
56,19,66,3300
53,7,71,200
10,12,61,1500
101,38,70,2000
42,40,66,2400
85,47,63,4000
35,49,70,1400
96,40,80,1600
51,19,59,300
16,25,78,1400
89,38,78,0
67,1,58,600
31,46,67,1700
82,50,72,1300
16,35,76,1700
101,43,59,0
81,19,72,2700
42,7,62,3200
80,29,54,2600
88,19,80,0
38,52,54,2500
49,4,70,1800
87,13,56,700
52,52,75,1500
58,4,78,3300
53,29,73,1100
45,20,79,1900
104,38,67,1900
18,10,74,1700
95,10,57,200
11,13,55,1900
100,42,68,2200
73,1,53,2200
94,43,55,2800
35,16,50,2400
50,3,69,3200
61,29,65,1600
34,16,65,800
92,38,77,3800
92,40,58,600
53,10,79,3000
80,16,61,3900
101,31,65,3500
93,45,54,1100
28,48,69,0
34,2,56,3600
79,5,62,0
21,1,57,2000
98,6,72,600
94,35,80,3500
24,11,76,3300
27,10,64,600
34,49,66,2200
32,48,68,3500
67,41,67,700
24,9,73,3800
109,14,66,700
93,40,60,1300
32,8,57,3500
45,45,61,300
46,12,75,4000
61,10,62,2500
100,7,64,3100
83,33,69,400
49,12,54,2000
54,29,70,3000
18,3,71,500
34,35,61,1100
38,25,65,1600
43,13,72,2200
39,14,58,1400
77,30,59,1300
70,43,52,1100
108,50,76,3100
89,23,67,3800
31,24,75,900
90,30,54,3500
64,12,51,600
37,14,61,3900
71,32,59,0
48,24,74,3900
48,29,66,3700
24,11,78,2900
71,42,65,1700
59,25,79,2200
45,27,53,1400
94,5,69,3600
18,29,80,2100
71,28,50,2500
11,14,51,2100
10,49,51,1700
85,27,51,3800
70,48,74,300
39,20,53,2500
51,24,63,3700
48,20,62,3700
62,52,68,800
56,18,52,3400
15,35,61,2000
62,10,73,2700
52,39,52,400
48,16,71,4000
49,10,58,2200
27,37,69,3900
84,11,70,800
41,26,70,2700
26,4,52,2900
108,27,56,400
27,9,76,200
59,2,75,2200
102,21,79,3500
18,17,59,1200
82,18,54,1900
80,13,80,900
67,18,57,3800
22,36,55,3600
54,46,60,1900
13,24,80,1100
54,38,50,2600
58,25,67,3400
63,52,66,500
80,7,52,2200
32,24,79,3700
40,15,61,2900
96,40,57,1700
21,21,78,800
104,26,58,3400
15,12,75,2400
104,41,53,1600
15,23,68,800
15,46,51,3900
36,32,56,3100
76,52,71,500
98,19,80,1300
64,48,73,2600
14,21,66,2900
81,47,80,4000
71,27,71,1600
61,15,63,3400
21,11,76,300
12,38,76,3100
78,15,74,700
99,23,67,1600
100,39,51,3500
104,4,73,1600
28,6,59,3500
72,5,66,600
45,17,71,3800
46,21,75,400
105,46,53,2600
83,6,75,400
39,51,63,300
67,47,58,3800
65,35,55,1000
74,1,61,2500
83,3,76,1900
20,8,55,3900
52,6,80,2700
39,52,72,2600
25,48,51,200
45,24,58,3300
65,15,59,2000
31,41,76,200
65,36,75,3000
50,37,72,3200
47,3,71,2000
71,27,63,2200
10,13,58,4000
21,43,57,3900
14,27,77,2000
62,29,79,100
71,50,54,1400
105,21,73,200
37,13,62,1600
31,31,68,2500
104,52,67,3700
19,30,56,3500
90,49,79,3000
43,39,50,3600
47,38,52,0
47,10,62,3500
34,47,58,600
87,12,67,3900
57,21,50,200
92,49,58,2000
33,30,79,500
95,19,64,3400
39,13,79,0
13,47,60,3600
61,32,56,2900
100,50,79,3800
23,6,52,3200
82,3,58,1500
73,9,75,3000
64,7,53,1300
108,36,58,1600
103,44,69,3000
68,32,50,200
53,35,79,800
49,44,75,3200
53,33,65,3100
104,25,62,1700
98,16,66,400
87,25,71,1000
97,14,68,300
13,34,61,3900
70,26,65,400
37,40,51,1200
53,22,77,1700
70,18,65,600
16,10,79,1500
36,26,56,2200
71,3,69,800
101,3,73,1700
19,47,65,300
47,5,69,600
23,30,64,2700
91,42,77,1900
55,1,66,800
30,4,63,2500
17,2,57,700
88,33,54,1300
25,20,51,2900
30,2,53,500
85,41,69,900
105,13,56,1000
66,11,53,1700
71,4,52,200
93,11,80,2300
100,41,69,400
50,20,73,2500
25,30,76,2100
36,33,63,3900
14,16,69,3000
44,6,71,300
40,6,61,1300
85,1,64,4000
54,39,50,1900
96,16,69,2400
63,1,68,2800
107,1,63,1100
49,3,51,1600
54,3,71,2500
33,11,58,3800
82,14,80,1800
32,5,62,1000
19,35,52,3400
31,30,77,3800
84,5,51,400
83,48,58,1800
46,45,63,3400
89,48,73,2600
57,10,65,1900
91,24,63,1800
68,41,67,2600
12,37,52,2900
34,11,77,1400
33,44,53,2000
69,10,56,3300
91,34,64,1300
83,42,72,2300
89,16,51,1800
100,46,63,1300
92,33,51,1600
58,1,72,300
103,9,60,3100
66,10,60,2300
107,12,59,2700
44,20,65,200
52,17,74,600
69,9,80,3800
94,37,65,2900
83,51,62,2400
79,20,78,3700
52,52,50,2600
13,29,63,1300
57,43,68,1000
30,16,73,3400
45,12,77,700
50,20,62,2200
64,6,77,1800
69,41,73,1500
67,19,73,3400
19,36,50,3000
22,34,76,1200
90,34,66,3600
52,15,76,1400
33,16,66,1200
47,14,63,3800
69,33,66,2100
95,13,56,3000
103,45,51,1200
97,38,80,1000
22,8,72,3300
33,52,65,2000
78,25,77,1600
66,1,63,3800
71,43,74,900
27,1,79,1200
104,33,66,3000
12,48,76,1300
12,40,78,2500
59,24,60,3300
83,16,54,3400
72,20,55,3900
71,50,62,1800
59,25,71,3000
34,43,56,3900
26,1,55,400
31,46,78,100
54,22,80,3300
80,29,73,300
62,49,77,3700
66,7,70,2400
61,8,60,2700
30,51,71,1800
72,35,54,1900
69,4,51,3100
97,31,58,600
16,21,52,2100
19,41,72,2000
12,6,65,3600
66,7,65,1200
30,51,79,1600
57,50,78,1000
99,23,61,700
89,41,59,2800
98,6,77,500
60,28,61,3500
101,52,59,3400
106,28,56,800
91,2,50,2000
25,42,63,2300
101,20,72,2000
18,11,54,3200
23,19,53,2300
19,50,50,1800
92,7,55,2900
19,14,55,1300
99,28,52,900
41,45,54,1300
50,52,80,2500
40,31,76,1300
43,20,80,3200
52,14,53,700
23,50,78,500
78,30,58,600
33,5,78,2500
55,24,60,2400
106,45,75,3100
79,24,59,1000
10,42,71,3300
105,39,72,300
91,21,62,3500
61,16,51,2500
86,30,79,400
56,32,72,600
108,32,69,800
15,16,62,1600
92,14,53,2300
32,25,58,600
72,28,51,2900
94,52,56,3700
24,23,66,3800
19,5,73,2800
28,5,67,3900
54,23,64,2800
107,38,79,1300
50,31,80,3100
43,13,72,3400
85,6,60,3100
55,31,72,900
94,7,52,900
49,42,67,1700
31,1,71,0
30,50,65,1100
69,8,76,1600
82,3,78,2200
48,29,73,200
84,14,70,400
73,31,76,2700
89,26,73,1100
